"Site Crawled","https://nordhealth.fi/"
"Start Date","2026-05-31"
"Start Time","08:10:01"
"Last Modified Date","2026-05-31"
"Last Modified Time","08:14:08"
"Elapsed","00:04:06"
"Report Date","2026-05-31"
"Report Time","08:14:08"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"<blink> Elements Deprecated & Must Not Be Used","0","0.00%","1825",""
"Text Requires Higher Color Contrast Ratio","0","0.00%","1825",""
"Text Requires Higher Color Contrast to Background","0","0.00%","1825",""
"Touch Targets Require Sufficient Size & Spacing","0","0.00%","1825",""
"Interactive Controls Must Not Be Nested","0","0.00%","1825",""
"List Items Must Be Contained In List Elements","0","0.00%","1825",""
"Lists Must Only Contain <li> Content Elements","0","0.00%","1825",""
"<dl> Must Only Have Ordered <dt> & <dd> Groups","0","0.00%","1825",""
"<dt> & <dd> Elements Must Be Contained by <dl>","0","0.00%","1825",""
"<th> Element Requires Associated Data Cells","0","0.00%","1825",""
"Table Header Attr Must Refer To Cell In Same Table","0","0.00%","1825",""
"Table Headers Require Discernible Text","0","0.00%","1825",""
"Table With Identical Summary & Caption Text","0","0.00%","1825",""
"Scope Attribute Should Be Used Correctly On Tables","0","0.00%","1825",""
""
"Custom Search"
"All","1825","100.00%","1825","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","1825","100.00%","1825","Internal HTML pages with 2xx response"
""
"Custom JavaScript"
"All","1947","100.00%","1947","Internal HTML pages with 2xx response"
""
"Analytics"
"All","1945","100.00%","1945","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","1945","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","1945","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","1945","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","1945","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","1945","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","1945","100.00%","1945","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0.00%","1945","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","0","0.00%","1945","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","0","0.00%","1945","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","1945","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","1945","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","1945","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","1945","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","1945","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","1945","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","1945","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","1945","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","2067","100.00%","2067","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0.00%","2067","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0.00%","2067","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0.00%","2067","Internal URLs with 2xx response"
"Missing <head> Tag","0","0.00%","2067","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0.00%","2067","Internal URLs with 2xx response"
"Missing <body> Tag","0","0.00%","2067","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0.00%","2067","Internal URLs with 2xx response"
"HTML Document Over 2MB","0","0.00%","2067","Internal URLs with 2xx response"
"Resource Over 2MB","0","0.00%","2067","Internal URLs with 2xx response"
"High Carbon Rating","0","0.00%","2067","Internal URLs with 2xx response"
""
"Link Metrics"
"All","1945","100.00%","1945","Internal HTML/PDF pages"
""
"AI"
"All","1947","100.00%","1947","Internal HTML URLs with 2xx response"
""
""
"Depth (Clicks from Start URL)"
"0","0","0.00%","1825","Internal HTML pages with 2xx response"
"1","0","0.00%","1825","Internal HTML pages with 2xx response"
"2","1","0.05%","1825","Internal HTML pages with 2xx response"
"3","48","2.63%","1825","Internal HTML pages with 2xx response"
"4","812","44.49%","1825","Internal HTML pages with 2xx response"
"5","195","10.68%","1825","Internal HTML pages with 2xx response"
"6","30","1.64%","1825","Internal HTML pages with 2xx response"
"7","283","15.51%","1825","Internal HTML pages with 2xx response"
"8","36","1.97%","1825","Internal HTML pages with 2xx response"
"9","49","2.68%","1825","Internal HTML pages with 2xx response"
"10+","371","20.33%","1825","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://www.nordhealth.fi/fi","1825","100.00%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/yritykselle","1553","85.10%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/terapeuteille","1553","85.10%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/yhteistyokumppani/kuntoutusyrittajat","1265","69.32%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/hieronta/tampere","1241","68.00%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/fysioterapia/tampere","1241","68.00%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/fysioterapia/suomi","1241","68.00%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/seksuaaliterapia/suomi","1241","68.00%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/ravitsemusterapia/suomi","1241","68.00%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/hieronta/helsinki","1241","68.00%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/psykologia/suomi","1241","68.00%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/psykoterapia/helsinki","1241","68.00%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/lyhytterapia/helsinki","1241","68.00%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/ohjeet","1241","68.00%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/uudet-ominaisuudet","1241","68.00%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/toimintaterapia/suomi","1241","68.00%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/hieronta/suomi","1241","68.00%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/lyhytterapia/suomi","1241","68.00%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/osteopatia/suomi","1241","68.00%","1825","Internal HTML pages with 2xx response"
"https://www.nordhealth.fi/fi/puheterapia/suomi","1241","68.00%","1825","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","2050","99.18%"
"2","15","0.73%"
"3","2","0.10%"
