"Site Crawled","https://nordhealth.fi/"
"Start Date","2026-05-24"
"Start Time","07:46:19"
"Last Modified Date","2026-05-24"
"Last Modified Time","07:50:07"
"Elapsed","00:03:48"
"Report Date","2026-05-24"
"Report Time","07:50:08"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"External All","588","22.29%","2638","All External Crawled URLs"
"External Blocked by Robots.txt","1","0.04%","2638","All External Crawled URLs"
"External Blocked Resource","0","0.00%","2638","All External Crawled URLs"
"External No Response","3","0.11%","2638","All External Crawled URLs"
"External Success (2xx)","565","21.42%","2638","All External Crawled URLs"
"External Redirection (3xx)","13","0.49%","2638","All External Crawled URLs"
"External Redirection (JavaScript)","0","0.00%","2638","All External Crawled URLs"
"External Redirection (Meta Refresh)","0","0.00%","2638","All External Crawled URLs"
"External Redirection (HTTP Refresh)","0","0.00%","2638","All External Crawled URLs"
"External Client Error (4xx)","6","0.23%","2638","All External Crawled URLs"
"External Server Error (5xx)","0","0.00%","2638","All External Crawled URLs"
""
"URL"
"All","2050","100.00%","2050","Internal URLs"
"Non ASCII Characters","0","0.00%","2050","Internal URLs"
"Underscores","0","0.00%","2050","Internal URLs"
"Uppercase","458","22.34%","2050","Internal URLs"
"Multiple Slashes","0","0.00%","2050","Internal URLs"
"Repetitive Path","0","0.00%","2050","Internal URLs"
"Contains Space","0","0.00%","2050","Internal URLs"
"Internal Search","0","0.00%","2050","Internal URLs"
"Parameters","793","38.68%","2050","Internal URLs"
"Broken Bookmark","0","0.00%","2050","Internal URLs"
"GA Tracking Parameters","0","0.00%","2050","Internal URLs"
"Over 115 Characters","510","24.88%","2050","Internal URLs"
""
"Page Titles"
"All","1793","100.00%","1793","Internal HTML pages with 2xx response"
"Missing","0","0.00%","1793","Internal HTML pages with 2xx response"
"Duplicate","92","5.13%","1793","Internal HTML pages with 2xx response"
"Over 60 Characters","149","8.31%","1793","Internal HTML pages with 2xx response"
"Below 30 Characters","75","4.18%","1793","Internal HTML pages with 2xx response"
"Over 561 Pixels","99","5.52%","1793","Internal HTML pages with 2xx response"
"Below 200 Pixels","10","0.56%","1793","Internal HTML pages with 2xx response"
"Same as H1","1","0.06%","1793","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","1793","Internal HTML pages with 2xx response"
"Outside <head>","8","0.45%","1793","Internal HTML pages with 2xx response"
""
"Meta Description"
"All","1793","100.00%","1793","Internal HTML pages with 2xx response"
"Missing","0","0.00%","1793","Internal HTML pages with 2xx response"
"Duplicate","92","5.13%","1793","Internal HTML pages with 2xx response"
"Over 155 Characters","302","16.84%","1793","Internal HTML pages with 2xx response"
"Below 70 Characters","22","1.23%","1793","Internal HTML pages with 2xx response"
"Over 985 Pixels","177","9.87%","1793","Internal HTML pages with 2xx response"
"Below 400 Pixels","7","0.39%","1793","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","1793","Internal HTML pages with 2xx response"
"Outside <head>","8","0.45%","1793","Internal HTML pages with 2xx response"
""
"Meta Keywords"
"All","1793","100.00%","1793","Internal HTML pages with 2xx response"
"Missing","1201","66.98%","1793","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","1793","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","1793","Internal HTML pages with 2xx response"
""
"H1"
"All","1793","100.00%","1793","Internal HTML pages with 2xx response"
"Missing","127","7.08%","1793","Internal HTML pages with 2xx response"
"Duplicate","892","49.75%","1793","Internal HTML pages with 2xx response"
"Over 70 Characters","99","5.52%","1793","Internal HTML pages with 2xx response"
"Multiple","10","0.56%","1793","Internal HTML pages with 2xx response"
"Alt Text in H1","0","0.00%","1793","Internal HTML pages with 2xx response"
"Non-Sequential","0","0.00%","1793","Internal HTML pages with 2xx response"
""
"H2"
"All","1793","100.00%","1793","Internal HTML pages with 2xx response"
"Missing","192","10.71%","1793","Internal HTML pages with 2xx response"
"Duplicate","198","11.04%","1793","Internal HTML pages with 2xx response"
"Over 70 Characters","1","0.06%","1793","Internal HTML pages with 2xx response"
"Multiple","207","11.54%","1793","Internal HTML pages with 2xx response"
"Non-Sequential","0","0.00%","1793","Internal HTML pages with 2xx response"
""
"Content"
"All","1793","100.00%","1793","Internal HTML pages with 2xx response"
"Exact Duplicates","0","0.00%","1793","Internal HTML pages with 2xx response"
"Near Duplicates","0","0.00%","1793","Internal HTML pages with 2xx response"
"Semantically Similar","0","0.00%","1793","Internal HTML pages with 2xx response"
"Low Relevance Content","0","0.00%","1793","Internal HTML pages with 2xx response"
"Low Content Pages","993","55.38%","1793","Internal HTML pages with 2xx response"
"Soft 404 Pages","0","0.00%","1793","Internal HTML pages with 2xx response"
"Spelling Errors","0","0.00%","1793","Internal HTML pages with 2xx response"
"Grammar Errors","0","0.00%","1793","Internal HTML pages with 2xx response"
"Readability Difficult","20","1.12%","1793","Internal HTML pages with 2xx response"
"Readability Very Difficult","1175","65.53%","1793","Internal HTML pages with 2xx response"
"Lorem Ipsum Placeholder","0","0.00%","1793","Internal HTML pages with 2xx response"
""
"Images"
"All","36","100.00%","36","Images with 2xx response"
"Over 100 kB","13","36.11%","36","Images with 2xx response"
"Missing Alt Text","6","16.67%","36","Images with 2xx response"
"Missing Alt Attribute","0","0.00%","36","Images with 2xx response"
"Alt Text Over 100 Characters","0","0.00%","36","Images with 2xx response"
"Background Images","0","0.00%","36","Images with 2xx response"
"Incorrectly Sized Images","0","0.00%","36","Images with 2xx response"
"Missing Size Attributes","8","22.22%","36","Images with 2xx response"
""
"Canonicals"
"All","1793","100.00%","1793","Internal HTML or PDF pages with 2xx response"
"Contains Canonical","0","0.00%","1793","Internal HTML or PDF pages with 2xx response"
"Self Referencing","0","0.00%","1793","Internal HTML or PDF pages with 2xx response"
"Canonicalised","0","0.00%","1793","Internal HTML or PDF pages with 2xx response"
"Missing","1201","66.98%","1793","Internal HTML or PDF pages with 2xx response"
"Multiple","0","0.00%","1793","Internal HTML or PDF pages with 2xx response"
"Multiple Conflicting","0","0.00%","1793","Internal HTML or PDF pages with 2xx response"
"Non-Indexable Canonical","0","0.00%","1793","Internal HTML or PDF pages with 2xx response"
"Canonical Is Relative","0","0.00%","1793","Internal HTML or PDF pages with 2xx response"
"Unlinked","0","0.00%","1793","Internal HTML or PDF pages with 2xx response"
"Invalid Attribute In Annotation","0","0.00%","1793","Internal HTML or PDF pages with 2xx response"
"Contains Fragment URL","0","0.00%","1793","Internal HTML or PDF pages with 2xx response"
"Outside <head>","0","0.00%","1793","Internal HTML or PDF pages with 2xx response"
""
"Pagination"
"All","1793","100.00%","1793","Internal HTML pages with 2xx response"
"Contains Pagination","0","0.00%","1793","Internal HTML pages with 2xx response"
"First Page","0","0.00%","1793","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","0","0.00%","1793","Internal HTML pages with 2xx response"
"Pagination URL Not in Anchor Tag","0","0.00%","1793","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","0","0.00%","1793","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0.00%","1793","Internal HTML pages with 2xx response"
"Non-Indexable","0","0.00%","1793","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0.00%","1793","Internal HTML pages with 2xx response"
"Pagination Loop","0","0.00%","1793","Internal HTML pages with 2xx response"
"Sequence Error","0","0.00%","1793","Internal HTML pages with 2xx response"
""
"Directives"
"All","1916","100.00%","1916","Internal URLs with 2xx response"
"Index","1201","62.68%","1916","Internal URLs with 2xx response"
"Noindex","592","30.90%","1916","Internal URLs with 2xx response"
"Follow","1201","62.68%","1916","Internal URLs with 2xx response"
"Nofollow","592","30.90%","1916","Internal URLs with 2xx response"
"None","0","0.00%","1916","Internal URLs with 2xx response"
"NoArchive","0","0.00%","1916","Internal URLs with 2xx response"
"NoSnippet","0","0.00%","1916","Internal URLs with 2xx response"
"Max-Snippet","0","0.00%","1916","Internal URLs with 2xx response"
"Max-Image-Preview","0","0.00%","1916","Internal URLs with 2xx response"
"Max-Video-Preview","0","0.00%","1916","Internal URLs with 2xx response"
"NoODP","0","0.00%","1916","Internal URLs with 2xx response"
"NoYDIR","0","0.00%","1916","Internal URLs with 2xx response"
"NoImageIndex","0","0.00%","1916","Internal URLs with 2xx response"
"NoTranslate","0","0.00%","1916","Internal URLs with 2xx response"
"Unavailable_After","0","0.00%","1916","Internal URLs with 2xx response"
"Refresh","0","0.00%","1925","Internal HTML pages with 2xx response"
"Outside <head>","37","1.93%","1916","Internal URLs with 2xx response"
""
"Hreflang"
"All","1793","100.00%","1793","Internal pages with 2xx response"
"Contains hreflang","0","0.00%","1793","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0.00%","1793","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","1793","Internal pages with 2xx response"
"Missing Return Links","0","0.00%","1793","Internal pages with 2xx response"
"Inconsistent Language & Region Return Links","0","0.00%","1793","Internal pages with 2xx response"
"Non-Canonical Return Links","0","0.00%","1793","Internal pages with 2xx response"
"Noindex Return Links","0","0.00%","1793","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0.00%","1793","Internal pages with 2xx response"
"Multiple Entries","0","0.00%","1793","Internal pages with 2xx response"
"Missing Self Reference","0","0.00%","1793","Internal pages with 2xx response"
"Not Using Canonical","0","0.00%","1793","Internal pages with 2xx response"
"Missing X-Default","0","0.00%","1793","Internal pages with 2xx response"
"Missing","0","0.00%","1793","Internal pages with 2xx response"
"Outside <head>","0","0.00%","1793","Internal pages with 2xx response"
""
"JavaScript"
"All","1793","100.00%","1793","Internal HTML pages with 2xx response"
"Pages with Blocked Resources","0","0.00%","1793","Internal HTML pages with 2xx response"
"Contains JavaScript Links","0","0.00%","1793","Internal HTML pages with 2xx response"
"Contains JavaScript Content","0","0.00%","1793","Internal HTML pages with 2xx response"
"Noindex Only in Original HTML","0","0.00%","1793","Internal HTML pages with 2xx response"
"Nofollow Only in Original HTML","0","0.00%","1793","Internal HTML pages with 2xx response"
"Canonical Only in Rendered HTML","0","0.00%","1793","Internal HTML pages with 2xx response"
"Canonical Mismatch","0","0.00%","1793","Internal HTML pages with 2xx response"
"Page Title Only in Rendered HTML","0","0.00%","1793","Internal HTML pages with 2xx response"
"Page Title Updated by JavaScript","0","0.00%","1793","Internal HTML pages with 2xx response"
"Meta Description Only in Rendered HTML","0","0.00%","1793","Internal HTML pages with 2xx response"
"Meta Description Updated by JavaScript","0","0.00%","1793","Internal HTML pages with 2xx response"
"H1 Only in Rendered HTML","0","0.00%","1793","Internal HTML pages with 2xx response"
"H1 Updated by JavaScript","0","0.00%","1793","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme URLs","0","0.00%","1793","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme Meta Fragment Tag","0","0.00%","1793","Internal HTML pages with 2xx response"
"Pages with JavaScript Errors","0","0.00%","1793","Internal HTML pages with 2xx response"
"Pages with JavaScript Warnings","0","0.00%","1793","Internal HTML pages with 2xx response"
"Pages with Chrome Issues","0","0.00%","1793","Internal HTML pages with 2xx response"
""
"Links"
"All","1793","100.00%","1793","Internal HTML pages with 2xx response"
"Pages With Uncrawlable Internal Outlinks","0","0.00%","1793","Internal HTML pages with 2xx response"
"Pages With High Crawl Depth","0","0.00%","1793","Internal HTML pages with 2xx response"
"Pages Without Internal Outlinks","0","0.00%","1793","Internal HTML pages with 2xx response"
"Internal Nofollow Outlinks","0","0.00%","1793","Internal HTML pages with 2xx response"
"Internal Outlinks With No Anchor Text","0","0.00%","1793","Internal HTML pages with 2xx response"
"Non-Descriptive Anchor Text In Internal Outlinks","0","0.00%","1793","Internal HTML pages with 2xx response"
"Pages With High External Outlinks","0","0.00%","1793","Internal HTML pages with 2xx response"
"Pages With High Internal Outlinks","0","0.00%","1793","Internal HTML pages with 2xx response"
"Follow & Nofollow Internal Inlinks To Page","0","0.00%","1793","Internal HTML pages with 2xx response"
"Internal Nofollow Inlinks Only","0","0.00%","1793","Internal HTML pages with 2xx response"
"Outlinks To Localhost","0","0.00%","1793","Internal HTML pages with 2xx response"
"Non-Indexable Page Inlinks Only","0","0.00%","1793","Internal HTML pages with 2xx response"
""
"AMP"
"All","0","0.00%","0","Internal AMP URLs"
"Non-200 Response","0","0.00%","1925","Internal HTML URLs"
"Missing Non-AMP Return Link","0","0.00%","0","Internal AMP URLs"
"Missing Canonical to Non-AMP","0","0.00%","0","Internal AMP URLs"
"Non-Indexable Canonical","0","0.00%","0","Internal AMP URLs"
"Indexable","0","0.00%","0","Internal AMP URLs"
"Non-Indexable","0","0.00%","0","Internal AMP URLs"
"Missing <html amp> Tag","0","0.00%","1925","Internal HTML URLs"
"Missing/Invalid <!doctype html> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <head> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <body> Tag","0","0.00%","0","Internal AMP URLs"
"Missing Canonical","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta charset> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta viewport> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Script","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Boilerplate","0","0.00%","0","Internal AMP URLs"
"Contains Disallowed HTML","0","0.00%","0","Internal AMP URLs"
"Other Validation Errors","0","0.00%","0","Internal AMP URLs"
""
"Structured Data"
"All","1793","100.00%","1793","Internal HTML pages with 2xx response"
"Contains Structured Data","0","0.00%","1793","Internal HTML pages with 2xx response"
"Missing","0","0.00%","1793","Internal HTML pages with 2xx response"
"Validation Errors","0","0.00%","1793","Internal HTML pages with 2xx response"
"Validation Warnings","0","0.00%","1793","Internal HTML pages with 2xx response"
"Rich Result Validation Errors","0","0.00%","1793","Internal HTML pages with 2xx response"
"Rich Result Validation Warnings","0","0.00%","1793","Internal HTML pages with 2xx response"
"Parse Errors","0","0.00%","1793","Internal HTML pages with 2xx response"
"Microdata URLs","0","0.00%","1793","Internal HTML pages with 2xx response"
"JSON-LD URLs","0","0.00%","1793","Internal HTML pages with 2xx response"
"RDFa URLs","0","0.00%","1793","Internal HTML pages with 2xx response"
"Rich Result Feature Detected","0","0.00%","1793","Internal HTML pages with 2xx response"
""
"Sitemaps"
"All","1927","100.00%","1927","Internal HTML/XML pages"
"URLs in Sitemap","0","0.00%","1927","Internal HTML/XML pages"
"URLs not in Sitemap","0","0.00%","1927","Internal HTML/XML pages"
"Orphan URLs","0","0.00%","1927","Internal HTML/XML pages"
"Non-Indexable URLs in Sitemap","0","0.00%","1927","Internal HTML/XML pages"
"URLs in Multiple Sitemaps","0","0.00%","1927","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0.00%","1927","Internal HTML/XML pages"
"XML Sitemap over 50MB","0","0.00%","1927","Internal HTML/XML pages"
""
"PageSpeed"
"All","1793","100.00%","1793","Internal HTML URLs with 2xx response"
"Document Request Latency","0","0.00%","1793","Internal HTML URLs with 2xx response"
"LCP Request Discovery","0","0.00%","1793","Internal HTML URLs with 2xx response"
"Render Blocking Requests","0","0.00%","1793","Internal HTML URLs with 2xx response"
"Network Dependency Tree","0","0.00%","1793","Internal HTML URLs with 2xx response"
"Use Efficient Cache Lifetimes","0","0.00%","1793","Internal HTML URLs with 2xx response"
"Layout Shift Culprits","0","0.00%","1793","Internal HTML URLs with 2xx response"
"Optimize DOM Size","0","0.00%","1793","Internal HTML URLs with 2xx response"
"Improve Image Delivery","0","0.00%","1793","Internal HTML URLs with 2xx response"
"Forced Reflow","0","0.00%","1793","Internal HTML URLs with 2xx response"
"Legacy JavaScript","0","0.00%","1793","Internal HTML URLs with 2xx response"
"Duplicated JavaScript","0","0.00%","1793","Internal HTML URLs with 2xx response"
"Font Display","0","0.00%","1793","Internal HTML URLs with 2xx response"
"Avoid Enormous Network Payloads","0","0.00%","1793","Internal HTML URLs with 2xx response"
"Minify CSS","0","0.00%","1793","Internal HTML URLs with 2xx response"
"Minify JavaScript","0","0.00%","1793","Internal HTML URLs with 2xx response"
"Reduce Unused CSS","0","0.00%","1793","Internal HTML URLs with 2xx response"
"Reduce Unused JavaScript","0","0.00%","1793","Internal HTML URLs with 2xx response"
"Reduce JavaScript Execution Time","0","0.00%","1793","Internal HTML URLs with 2xx response"
"Minimize Main-Thread Work","0","0.00%","1793","Internal HTML URLs with 2xx response"
"Request Errors","0","0.00%","1793","Internal HTML URLs with 2xx response"
""
"Mobile"
"All","1793","100.00%","1793",""
"Viewport Not Set","0","0.00%","1793",""
"Target Size","0","0.00%","1793",""
"Content Not Sized Correctly","0","0.00%","1793",""
"Illegible Font Size","0","0.00%","1793",""
"Contains Unsupported Plugins","0","0.00%","1793",""
"Mobile Alternate Link","0","0.00%","1793",""
""
"Accessibility"
"All","1793","100.00%","1793",""
"Accessibility Score Poor","0","0.00%","1793",""
"Accessibility Score Needs Improvement","0","0.00%","1793",""
"Accessibility Score Good","0","0.00%","1793",""
"WCAG 2.0 A Violation","0","0.00%","1793",""
"WCAG 2.0 AA Violation","0","0.00%","1793",""
"WCAG 2.0 AAA Violation","0","0.00%","1793",""
"WCAG 2.1 AA Violation","0","0.00%","1793",""
"WCAG 2.2 AA Violation","0","0.00%","1793",""
"Best Practice Violation","0","0.00%","1793",""
"Accesskey Attribute Value Must Be Unique","0","0.00%","1793",""
"Ensure Elements Marked Presentational Are Ignored","0","0.00%","1793",""
"Elements Must Not Have Tabindex Greater Than Zero","0","0.00%","1793",""
"Scrollable Region Requires Keyboard Access","0","0.00%","1793",""
"Skip-link Target Should Exist & Be Focusable","0","0.00%","1793",""
"Required ARIA Attributes Must Be Provided","0","0.00%","1793",""
"Role=text Should Have No Focusable Descendants","0","0.00%","1793",""
"ARIA Attribute Must Be Used As Specified For Role","0","0.00%","1793",""
"ARIA Attributes Require Valid Values","0","0.00%","1793",""
"ARIA Attributes Require Valid Names","0","0.00%","1793",""
"ARIA Commands Require Accessible Name","0","0.00%","1793",""
"ARIA Dialog & Alertdialog Require Accessible Name","0","0.00%","1793",""
"ARIA Input Fields Require Accessible Name","0","0.00%","1793",""
"ARIA Meter Nodes Require Accessible Name","0","0.00%","1793",""
"ARIA Progressbar Nodes Require Accessible Name","0","0.00%","1793",""
"ARIA Role Should Be Appropriate For Element","0","0.00%","1793",""
"ARIA Roles Must Be Contained By Required Parent","0","0.00%","1793",""
"ARIA Roles Require Valid Values","0","0.00%","1793",""
"ARIA Toggle Fields Require Accessible Name","0","0.00%","1793",""
"ARIA Tooltip Nodes Require Accessible Name","0","0.00%","1793",""
"ARIA Treeitem Nodes Require Accessible Name","0","0.00%","1793",""
"Certain ARIA Roles Must Contain Specific Children","0","0.00%","1793",""
"Deprecated ARIA Roles Must Not Be Used","0","0.00%","1793",""
"Aria-braille Require Non-braille Equivalent","0","0.00%","1793",""
"Aria-hidden Elements Contains Focusable Elements","0","0.00%","1793",""
"Aria-hidden=true Must Not Be Used In <body>","0","0.00%","1793",""
"Elements Must Only Use Permitted ARIA Attributes","0","0.00%","1793",""
"Elements Must Use Allowed ARIA Attributes","0","0.00%","1793",""
"IDs Used In ARIA & Labels Must Be Unique","0","0.00%","1793",""
"Page Requires Means To Bypass Repeated Blocks","0","0.00%","1793",""
"All Page Content Must Be Contained By Landmarks","0","0.00%","1793",""
"Page Requires One Main Landmark","0","0.00%","1793",""
"Page Must Not Have More Than One Banner Landmark","0","0.00%","1793",""
"Banner Landmark Must Not Be In Another Landmark","0","0.00%","1793",""
"Page Must Not Have Multiple Contentinfo Landmarks","0","0.00%","1793",""
"Page Requires At Most One Main Landmark","0","0.00%","1793",""
"Complementary Landmarks & Asides Must Be Top Level","0","0.00%","1793",""
"Contentinfo Landmark Must Be Top Level Landmark","0","0.00%","1793",""
"Main Landmark Must Not Be In Another Landmark","0","0.00%","1793",""
"Landmarks Require Unique Role Or Accessible Name","0","0.00%","1793",""
"Form Field Must Not Have Multiple Label Elements","0","0.00%","1793",""
"Form <input> Elements Require Labels","0","0.00%","1793",""
"Form Elements Should Have Visible Label","0","0.00%","1793",""
"Autocomplete Attribute Must Be Used Correctly","0","0.00%","1793",""
"Frames Require Title Attribute","0","0.00%","1793",""
"Frames Require Unique Title Attribute","0","0.00%","1793",""
"Frames Should Be Tested With axe-core","0","0.00%","1793",""
"Frames With Focusable Content Must Not Use tabindex=-1","0","0.00%","1793",""
"Page Must Contain <title>","0","0.00%","1793",""
"Page Must Contain <h1>","0","0.00%","1793",""
"Heading Levels Should Only Increase By One","0","0.00%","1793",""
"Headings Should Not Be Empty","0","0.00%","1793",""
"Meta Viewport Should Allow Zoom & Scale Up to 500%","0","0.00%","1793",""
"Meta Viewport Zoom & Scaling Disabled","0","0.00%","1793",""
"HTML Element Lang Attribute Value Must Be Valid","0","0.00%","1793",""
"HTML Element Requires Lang Attribute","0","0.00%","1793",""
"HTML Lang & XML Lang Value Should Match","0","0.00%","1793",""
"Lang Attribute Requires Valid Value","0","0.00%","1793",""
"Delayed Meta Refresh Must Not Be Used","0","0.00%","1793",""
"Timed Meta Refresh Must Not Exist","0","0.00%","1793",""
"Image Button Requires Alternate Text","0","0.00%","1793",""
"Images Require Alternate Text","0","0.00%","1793",""
"<object> Elements Require Alternate Text","0","0.00%","1793",""
"Active <area> Elements Require Alternate Text","0","0.00%","1793",""
"Alt Text Should Not Be Repeated As Text","0","0.00%","1793",""
"Elements Marked role=img Require Alternate Text","0","0.00%","1793",""
"SVG Images & Graphics Require Accessible Text","0","0.00%","1793",""
"Server-Side Image Maps Must Not Be Used","0","0.00%","1793",""
"<video> Elements Require <track> For Captions","0","0.00%","1793",""
"<video> or <audio> Elements Must Not Auto-play","0","0.00%","1793",""
"Buttons Require Discernible Text","0","0.00%","1793",""
"Input Buttons Require Discernible Text","0","0.00%","1793",""
"Inline Text Spacing Must Be Adjustable","0","0.00%","1793",""
"Links Must Be Distinguishable","0","0.00%","1793",""
"Links Require Discernible Text","0","0.00%","1793",""
"Links With Same Accessible Name","0","0.00%","1793",""
"Select Element Requires Accessible Name","0","0.00%","1793",""
"Summary Elements Require Discernible Text","0","0.00%","1793",""
"Deprecated <marquee> Element Must Not Be Used","0","0.00%","1793",""
"<blink> Elements Deprecated & Must Not Be Used","0","0.00%","1793",""
"Text Requires Higher Color Contrast Ratio","0","0.00%","1793",""
"Text Requires Higher Color Contrast to Background","0","0.00%","1793",""
"Touch Targets Require Sufficient Size & Spacing","0","0.00%","1793",""
"Interactive Controls Must Not Be Nested","0","0.00%","1793",""
"List Items Must Be Contained In List Elements","0","0.00%","1793",""
"Lists Must Only Contain <li> Content Elements","0","0.00%","1793",""
"<dl> Must Only Have Ordered <dt> & <dd> Groups","0","0.00%","1793",""
"<dt> & <dd> Elements Must Be Contained by <dl>","0","0.00%","1793",""
"<th> Element Requires Associated Data Cells","0","0.00%","1793",""
"Table Header Attr Must Refer To Cell In Same Table","0","0.00%","1793",""
"Table Headers Require Discernible Text","0","0.00%","1793",""
"Table With Identical Summary & Caption Text","0","0.00%","1793",""
"Scope Attribute Should Be Used Correctly On Tables","0","0.00%","1793",""
""
"Custom Search"
