"Site Crawled","https://nordhealth.fi/"
"Start Date","2026-05-24"
"Start Time","07:46:19"
"Last Modified Date","2026-05-24"
"Last Modified Time","07:50:07"
"Elapsed","00:03:48"
"Report Date","2026-05-24"
"Report Time","07:50:08"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","2638","100.00%","2638","URLs Encountered"
"Total URLs Crawled","2637","99.96%","2638","URLs Encountered"
"Total Internal blocked by robots.txt","0","0.00%","2638","URLs Encountered"
"Total External blocked by robots.txt","1","0.04%","2638","URLs Encountered"
""
"URLs Displayed","2638","100.00%","2638","URLs Displayed"
"Total Internal URLs","2050","77.71%","2638","URLs Displayed"
"Total External URLs","588","22.29%","2638","URLs Displayed"
"Total Internal Indexable URLs","1324","50.19%","2638","URLs Displayed"
"Total Internal Non-Indexable URLs","726","27.52%","2638","URLs Displayed"
""
"Internal"
"All","2050","100.00%","2050","Internal URLs"
"HTML","1925","93.90%","2050","Internal URLs"
"JavaScript","48","2.34%","2050","Internal URLs"
"CSS","41","2.00%","2050","Internal URLs"
"Images","34","1.66%","2050","Internal URLs"
"Media","0","0.00%","2050","Internal URLs"
"Fonts","0","0.00%","2050","Internal URLs"
"XML","0","0.00%","2050","Internal URLs"
"PDF","0","0.00%","2050","Internal URLs"
"Plugins","0","0.00%","2050","Internal URLs"
"Other","2","0.10%","2050","Internal URLs"
"Unknown","0","0.00%","2050","Internal URLs"
""
"External"
"All","588","100.00%","588","External URLs"
"HTML","110","18.71%","588","External URLs"
"JavaScript","0","0.00%","588","External URLs"
"CSS","0","0.00%","588","External URLs"
"Images","2","0.34%","588","External URLs"
"Media","0","0.00%","588","External URLs"
"Fonts","0","0.00%","588","External URLs"
"XML","0","0.00%","588","External URLs"
"PDF","0","0.00%","588","External URLs"
"Plugins","0","0.00%","588","External URLs"
"Other","475","80.78%","588","External URLs"
"Unknown","1","0.17%","588","External URLs"
""
"Security"
"All","2050","100.00%","2050","All internal and non-HTML external URLs"
"HTTP URLs","0","0.00%","2050","All internal and non-HTML external URLs"
"HTTPS URLs","2050","100.00%","2050","All internal and non-HTML external URLs"
"Mixed Content","0","0.00%","2050","All internal and non-HTML external URLs"
"Form URL Insecure","0","0.00%","2050","All internal and non-HTML external URLs"
"Form on HTTP URL","0","0.00%","2050","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","84","4.10%","2050","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","0","0.00%","2050","All internal and non-HTML external URLs"
"Missing HSTS Header","89","4.34%","2050","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","89","4.34%","2050","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","89","4.34%","2050","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","89","4.34%","2050","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","1916","93.46%","2050","All internal and non-HTML external URLs"
"Bad Content Type","0","0.00%","2050","All internal and non-HTML external URLs"
""
"Response Codes"
"All","2638","100.00%","2638","All Internal & External Crawled URLs"
"Blocked by Robots.txt","1","0.04%","2638","All Internal & External Crawled URLs"
"Blocked Resource","0","0.00%","2638","All Internal & External Crawled URLs"
"No Response","3","0.11%","2638","All Internal & External Crawled URLs"
"Success (2xx)","2481","94.05%","2638","All Internal & External Crawled URLs"
"Redirection (3xx)","147","5.57%","2638","All Internal & External Crawled URLs"
"Redirection (JavaScript)","0","0.00%","2638","All Internal & External Crawled URLs"
"Redirection (Meta Refresh)","0","0.00%","2638","All Internal & External Crawled URLs"
"Redirection (HTTP Refresh)","0","0.00%","2638","All Internal & External Crawled URLs"
"Client Error (4xx)","6","0.23%","2638","All Internal & External Crawled URLs"
"Server Error (5xx)","0","0.00%","2638","All Internal & External Crawled URLs"
"Internal All","2050","77.71%","2638","All Internal Crawled URLs"
"Internal Blocked by Robots.txt","0","0.00%","2638","All Internal Crawled URLs"
"Internal Blocked Resource","0","0.00%","2638","All Internal Crawled URLs"
"Internal No Response","0","0.00%","2638","All Internal Crawled URLs"
"Internal Success (2xx)","1916","72.63%","2638","All Internal Crawled URLs"
"Internal Redirection (3xx)","134","5.08%","2638","All Internal Crawled URLs"
"Internal Redirection (JavaScript)","0","0.00%","2638","All Internal Crawled URLs"
"Internal Redirection (Meta Refresh)","0","0.00%","2638","All Internal Crawled URLs"
"Internal Redirection (HTTP Refresh)","0","0.00%","2638","All Internal Crawled URLs"
"Internal Redirect Chain","0","0.00%","2638","All Internal Crawled URLs"
"Internal Redirect Loop","0","0.00%","2638","All Internal Crawled URLs"
"Internal Client Error (4xx)","0","0.00%","2638","All Internal Crawled URLs"
"Internal Server Error (5xx)","0","0.00%","2638","All Internal Crawled URLs"
